id,company,position,salary,city,remark,score,time,number
222,小米,运维工程师,19.6,北京,硕,4,"2016-10-27 22:50:11",586
223,全志,软件开发工程师,10W~11W,珠海,7500*14，没有试用期,1,"2016-10-27 22:53:44",311
224,贝贝网,产品运营,7.2W,杭州,"硕士普薪 6K*12",3,"2016-10-27 22:56:46",595
225,华为,研发工程师,20K*16,北京,Top2高校计算机硕士,13,"2016-10-27 22:57:43",1009
226,华为,网络安全工程师,24-27W,东莞,"华为special 15*16~18",3,"2016-10-27 22:59:44",500
227,搜狐,产品,16*14,北京,"这是一个学妹的工资，本科  实习5个月转正",1,"2016-10-27 23:01:44",441
228,联发软件设计（深圳）有限公司,嵌入式软件开发工程师,本科预计16W+,深圳,,5,"2016-10-27 23:04:09",226
229,腾讯,后台开发工程师,20.75w,成都,腾讯白菜价，12.5*16+7500房补,7,"2016-10-27 23:04:31",751
230,武汉银联商务,软件开发工程师,14W,武汉,年终奖看公司绩效，有时很给力，有个好几W,8,"2016-10-27 23:07:49",535
231,德州仪器,数字设计工程师,22.8万,上海,"硕士 15+ x 15",7,"2016-10-27 23:10:36",787
232,航天五院,助理工程师,12w,北京航天城,硕士及以上,7,"2016-10-27 23:10:50",775
233,中信银行信用卡中心,大数据研发工程师,19W,深圳,有加班费，也不怎么加班，放假特多，年薪里包含了各种现金福利,4,"2016-10-27 23:11:41",640
234,中科院微电子所,图像处理算法工程师,25w,北京,解决户口，要求比较高,6,"2016-10-27 23:14:24",638
235,平安科技,运维研发工程师,19W,深圳,小sp,0,"2016-10-27 23:15:36",497
236,阿里,C++研发,20.8,杭州,13*16白菜价,9,"2016-10-27 23:15:55",2194
237,联合利华,管理培训生第一年,17.5,全国,"12.5x14 ",4,"2016-10-27 23:27:33",814
238,亚马逊中国,SDE,"28.7(含sign bonus，细节没告知)",北京,"本科  
应届生T0-T4中的T1，T0最高
其他细节还未告知",5,"2016-10-27 23:35:45",930
239,错误信息,"select count(*) from master.dbo.sysobjects","select count(*) from master.dbo.sysobjects","select count(*) from master.dbo.sysobjects",,-2,"2016-10-27 23:44:18",57
240,搜狐畅游,运营策划,8*16,北京,硕士白菜价,6,"2016-10-27 23:44:36",363
241,滴滴,系统工程师,22.5,北京,小硕，批发价15*15,9,"2016-10-27 23:58:36",744
242,腾讯,产品,25w,深圳,sp,4,"2016-10-28 00:20:29",952
243,中原电子,软件类岗位,12w,武汉,硕士年含奖金12w，每月8k，本科非211六个月试用期每月减500，hr说每年涨10%,7,"2016-10-28 00:38:07",411
244,乐其,游戏开发工程师,10w-12w,上海,本科机械。起薪8000每月。上海市最低标准五险一金，但是公司包食宿，住宿离公司步行15分钟。,4,"2016-10-28 00:44:42",312
245,新美大,Java工程师,28,北京,"硕士，谈到Sp 18*15.5 感觉还可以",-1,"2016-10-28 07:00:54",487
246,新美大,Java工程师,28,北京,"硕士，谈到Sp 18*15.5 感觉还可以",3,"2016-10-28 07:01:06",561
247,头条,前端开发,28,北京,硕士,5,"2016-10-28 08:09:23",589
248,网易杭研,前端开发,20.8,杭州,硕士13*16,7,"2016-10-28 08:10:44",753
249,海康威视,前端开发工程师,14*15,杭州,硕士开发special,2,"2016-10-28 09:55:40",697
250,华为,操作系统研发,28,杭州,硕士SP，18*16,3,"2016-10-28 10:00:13",723
251,网易杭研,测试工程师,18-20,杭州,硕士打包，11*16,5,"2016-10-28 10:02:35",698
252,华为,硬件工程师,16.8W—19.2W,西安,华为二线城市一般offer吧，感觉在西安混的下去，不知道是不是拖了渣交的后腿,5,"2016-10-28 10:11:40",614
253,恒生电子,软件开发,12K*12+绩效/奖金,杭州,硕士实习转正offer,-1,"2016-10-28 10:30:31",133
254,滴滴,产品经理,18w,杭州,"本科研究生均一价 12*15 包晚饭",7,"2016-10-28 10:35:13",737
255,华为,数字芯片,22.4W,上海,"小硕 14k*16",5,"2016-10-28 10:43:03",718
256,大疆,硬件工程师,30W,深圳,,10,"2016-10-28 10:50:32",1078
257,华三,软件工程师,15w,杭州,奖金，入职前两年2-4个月，两年后4-5个月,8,"2016-10-28 11:05:50",767
258,捷尚视觉科技,算法工程师,1K*(15~18),杭州,硕士，非SP，1K*13+1K*（0~5），年薪在15W到18W,4,"2016-10-28 11:19:09",236
259,百度,产品经理,11x14.6,北京,普通，硕士,11,"2016-10-28 11:25:53",647
260,钜盛华（宝能）,硕士,10w+,深圳,本科15W，硕士18W+，基本工资1W，免费餐，车补，话补等等,3,"2016-10-28 11:38:10",229
261,海康威视,销售,13.5-15.5W,杭州,,2,"2016-10-28 11:45:38",601
262,网易,产品策划,11×16,杭州,普通offer，硕士,7,"2016-10-28 11:46:02",839
263,海康,研发类,17.5,杭州,11*15+1w,6,"2016-10-28 11:58:50",1048
264,兆芯,"x86 cpu研发",12k*14,北京,硕士,6,"2016-10-28 12:03:53",341
265,大疆,图像算法工程师,30-40,深圳,,6,"2016-10-28 12:05:11",1462
266,搜狐焦点,android开发,224,北京,双985硕士，16*14,2,"2016-10-28 12:11:28",221
267,携程,机票研发-android,21,上海,985硕士，14*15,5,"2016-10-28 12:12:28",470
268,顺丰科技,研发，导航，人工智能，无人机,16k*14,深圳,硕士，非sp,0,"2016-10-28 12:19:12",699
269,一点资讯,产品经理,16*14,北京,"硕士 非SP",4,"2016-10-28 12:21:25",403
270,中船701,软开,8k*12,武汉,硕士，非sp，包吃住，隐形福利有一些，加班,10,"2016-10-28 12:22:13",1148
271,百度,上海-基础平台软件研发工程师,20W,上海,硕士，批发价14*14.6,5,"2016-10-28 12:32:47",523
272,搜狐焦点,后台开发,22～24,北京,双985。正常价。,6,"2016-10-28 12:38:14",295
273,虹软科技有限公司,算法工程师,23.8,杭州,硕士,8,"2016-10-28 12:39:36",576
274,商汤,系统开发,24.7,北京,19*13,4,"2016-10-28 12:41:14",522
275,宜信,研发工程师,12*12-18,北京,,1,"2016-10-28 12:49:52",645
276,沈阳飞机设计研究所,研发工程师,7k×12（税后）,沈阳,无差异化起薪，无论你是985或211或非211的学校，待遇一样,9,"2016-10-28 13:10:13",644
277,Intel,研发工程师,29.5W,上海,,-1,"2016-10-28 13:50:52",488
278,腾讯,测试开发,24,深圳,基本工资14*16，房补15k，TST录取的,4,"2016-10-28 13:58:22",676
279,华为,算法工程师,28W,北京,研究生,5,"2016-10-28 14:07:30",720
280,"中兴  南京  无线研究院",软件研发,8500*14,南京,硕士，普通校招，sp可以谈工资,31,"2016-10-28 14:09:01",1375
283,微软,SDE,23w（base）,北京,"硕士 special",8,"2016-10-28 14:21:55",724
284,数码视讯,前端开发,"9k-10k/月 +1288加班费/月",北京,硕士，非sp<>,5,"2016-10-28 14:22:43",225
285,<script>,A,11,a,11,-1,"2016-10-28 14:25:29",128
286,科达,软件开发,14.2W,上海,"硕士 9.5x15",6,"2016-10-28 14:26:04",279
287,大疆,产品经理,24w-40w,深圳,,-1,"2016-10-28 14:30:39",538
288,深信服,研发,19-22,深圳,硕士，12*15到18,15,"2016-10-28 14:38:28",828
289,京东,京东金融软件研发工程师,19.5,北京,硕士白菜15×13，本科白菜13×13,4,"2016-10-28 15:08:53",326
290,百度,机器学习,17*14.6,北京,移动分发，信电水硕，sp,8,"2016-10-28 15:12:43",762
291,搜狐,研发,18*15,北京,信电水硕，sp,3,"2016-10-28 15:13:41",409
292,海康威视北方地区分公司,技术支持,5.5k*15+1.3k补贴,分公司省会,本科,7,"2016-10-28 15:15:51",362
293,碧桂园,营销管理,12w,浙江区域,硕士,4,"2016-10-28 15:19:24",445
294,台达电子管理企业有限公司,电子工程师,11k*15,杭州、上海,硕士,5,"2016-10-28 15:20:38",257
295,德邦,软件开发工程师,10-11,上海,一般：基本工资9K，年终奖1w,3,"2016-10-28 15:24:12",227
296,飞利浦,研发工程师,15w,上海,硕士,3,"2016-10-28 15:25:16",365
297,穆迪（深圳）,软件开发工程师,22w,深圳,,6,"2016-10-28 15:26:04",227
298,百度,网络工程师,23,北京,"硕士百度special 16*14.6",1,"2016-10-28 15:31:50",586
299,南京信息技术研究院(841所),软件类工程师,税后14-20w,南京,硕士税后14-20w，公积金单位个人都12%，外加单位住房补贴22%，前三年低价单位住房,9,"2016-10-28 15:36:11",435
300,烽火星空,软件开发,11-12W,南京,基本工资9K，餐补400，交通补贴200,3,"2016-10-28 15:45:03",391
301,海能达深圳,应用软件,14-20w,深圳,"硕士，小sp，试用期月薪12k,六个月转正以后，涨10％左右，年终奖平均3个月，加班费每月2到3k，转正之后才有加班费",6,"2016-10-28 15:51:03",269
302,中兴软创,软件研发,9000*13.3,南京,,2,"2016-10-28 16:01:59",373
303,联发科,移动测试/客户支持,11K*15+3个月入职补贴,上海,硕士，拒掉了,7,"2016-10-28 16:08:27",248
304,凌云光,算法工程师,12*15,北京,硕士普通offer，包括补贴,4,"2016-10-28 16:08:51",167
305,拼多多,管培,7k*14,上海,硕士,4,"2016-10-28 16:10:53",305
306,禾望电气,嵌入式软硬件开发,18w,深圳,普通研发岗10*15+3w(第一年补助)，公积金5%这个有点低,5,"2016-10-28 16:14:34",215
307,速腾聚创,算法工程师,20～25w,深圳,硕士，没年终奖，期间有项目奖，实习12k，转正15k,4,"2016-10-28 16:14:46",134
308,中兴力维,研发工程师,15w,南京,"打包价 9K * 14-16,1k饭补车补，5000安家费",5,"2016-10-28 16:15:29",339
309,上海联影医疗科技有限公司,软件开发工程师（可视化/三维重建方向）,12-15w,上海市,10k*（12-15），3个月看部门效益了,7,"2016-10-28 16:22:49",342
310,中兴西研,终端,10w-14w,西安,中兴二线批发8.5k*（12-16）+工作日15元饭补，为税前,8,"2016-10-28 16:32:45",428
311,同花顺,C++研发工程,15K*12月+年终奖,杭州,硕士,-1,"2016-10-28 17:04:55",342
312,好未来,产品经理,16.8w,北京,硕士，批发价10×14，sp：12×14,4,"2016-10-28 17:07:32",277
313,大疆,IT管培,12-16k/月，14-18个月,深圳,"不是我不肯说， hr给的薪资范围就是这么大",5,"2016-10-28 17:12:13",779
314,点我达,产品经理,"11.2 w",杭州,本硕一样,3,"2016-10-28 17:13:41",246
315,甲骨文,北京开发,15万,北京,批发价,5,"2016-10-28 17:18:38",753
316,拼多多,研发工程师,32-41,上海,23k*（14-20），14个月是肯定拿的。包吃住,5,"2016-10-28 17:27:25",364
317,联发科上海,ASIC设计,11k*15+3w签约奖,上海,"没有SP 统一价 有个签约奖3w（承诺服务期满两年） 11k*15 有加班费 带薪年假12天",9,"2016-10-28 17:27:37",398
318,拼多多,运营培训生,12.6w,上海,硕普,4,"2016-10-28 17:33:14",289
319,华为,云计算开发工程师,28.8w,深圳,18k*16，14级,6,"2016-10-28 17:35:35",790
320,拼多多,管培生,8w,上海,,3,"2016-10-28 17:42:18",483
321,中兴,MKT经理-技术,五营（常驻欧美）：年薪24w（月薪10k，海外补贴每月10k-17k左右）,海外（欧美）,MKT技术五营，需外派。外派地点为欧美，新人有较大可能性分配到拉美（拉美补贴也相对较高）。深圳培训6个月后国外常驻。,9,"2016-10-28 18:33:42",580
322,浪潮,软件研发,10-12w,济南,,4,"2016-10-28 19:33:40",392
323,AO史密斯,研发岗,9*16,南京,,7,"2016-10-28 19:44:48",683
324,远景能源,研发/销售,"（基础研发工程师 10k*12，奖金0~9个月）销售（9k*12，奖金0~9个月）",上海,,7,"2016-10-28 19:46:47",542
325,金蝶,java开发,8k*13.5,深圳,本科批发,3,"2016-10-28 20:00:45",411
326,完美世界,产品经理,12*14,北京,本科，400餐补,5,"2016-10-28 20:44:14",483
329,搜狐焦点,前端开发,14*14,北京,,7,"2016-10-28 21:24:08",327
330,百世汇通,供应链培训生,6w—8w,杭州,本科，留总部有餐补和房补，分部提供住宿有食堂。,2,"2016-10-28 21:58:23",399
331,广联达,软件开发,18-21w，上限可谈,北京,"硕士， special offer: 17k*14， 300餐补，晚餐18点以后1分钱一顿",3,"2016-10-28 22:12:15",348
332,百度,凤巢机器学习岗位,24.8,北京,"普通sp,因为没有去实习过",6,"2016-10-28 23:37:34",675
333,新华三,硬件工程师,15W,杭州,硕士，11*12，年终奖老员工4~5个月。,5,"2016-10-29 00:14:08",443
334,海能达,售前技术,14-16W,深圳,"硕士 试用期6个月 月薪 10k 另有2到6个月奖金 看个人效益 出差每天50-90美元补贴",4,"2016-10-29 00:24:53",251
335,融360,算法工程师,17k*15,北京,硕士，非sp,4,"2016-10-29 01:09:56",371
336,青岛鼎信,软件测试,11.2w-13.3w,青岛,7k*13+7k*(3-6),5,"2016-10-29 10:12:55",227
337,浙江移动,技术岗,税前15.8万,杭州,包括年终奖,4,"2016-10-29 10:20:01",711
338,中兴燕郊,嵌入式开发,年薪25w,燕郊,一般offer，硕士,-1,"2016-10-29 10:58:22",51
339,海康威视,硬件工程师,14-16,杭州,1w*（14-16）其他补贴1.3w,7,"2016-10-29 11:56:50",553
340,今日头条,后端开发工程师,"28W 加班费房补另算",北京中航广场,"批发 全年PACKAGE  还有大概1-2W的加班费 和1.5/month 的租房房补",6,"2016-10-29 15:04:43",502
341,航天九院,ic开发,10-12w,北京,硕士，京户,8,"2016-10-29 15:54:43",416
342,海康威视,C++应用软件开发,15w,杭州,"非SP，硕士,大概还要1.3w的福利，大小周",3,"2016-10-29 15:57:17",532
343,美团点评,产品运营,9K＊15.5,上海,985硕士,3,"2016-10-29 17:14:05",499
344,大华,机器视觉算法工程师,11*16,杭州,,3,"2016-10-29 17:54:27",418
347,二十八所,软件设计开发,硕士双南大17万保底，双南大计算机19万保底，年薪制保底待遇。,南京,薪水备注：待遇按学校和专业分档，普通98515W，双南大17W，计算机19W，年薪属于打包价格，提供吃住行福利保障，这一块能省不少钱。做国防信息化、军队网络化的单位，属于中电发展非常快的所，因项目多，导致加班出差多，工作辛苦。,17,"2016-10-29 18:26:12",729
348,海康威视,海外销售代表,国内部分11X15外加1万的补助，海外另算,杭州及海外,,6,"2016-10-29 19:06:48",430
349,美的,空调事业部,15-18W,佛山顺德,公司给的价9K*(14+(1~3))(一般2个月算不错的了)，地方补助大概3K*12，两年，大概情况就这样了,14,"2016-10-29 19:07:27",524
350,豪威（OmniVision）,ASIC,15.6--16.8,上海,硕士，统一价，12k*13，外加一个月左右季度奖，12%公积金,6,"2016-10-29 19:13:44",234
351,方太,机械结构研究,10.8w-14w,宁波,"单985硕士，根据学校和岗位定薪，底薪9000x12，年终奖看个人能力，一般2个月，政府补助2.4w,补助两年",12,"2016-10-29 19:15:50",472
352,一点资讯,产品经理,14×（14-16）,北京,硕,4,"2016-10-29 20:27:39",287
353,大疆,测试工程师,20-25,深圳,硕士,5,"2016-10-29 20:52:53",705
354,同花顺,机器学习,"15K*（12 + 1~5） ",杭州,"香港一年制硕士，半年转机器学习，special offer？",3,"2016-10-29 21:32:07",418
355,华为,大数据,16*（14~16）,南京,香港一年制硕士，华为special？,6,"2016-10-29 21:32:39",795
356,中国核电,进度管理主管,18-20w，看节点完成情况和考核情况,台州,本科毕业7年,1,"2016-10-29 21:56:57",278
357,华为,模拟IC工程师,25.6W,上海,,2,"2016-10-29 22:23:38",3759
358,奥克斯,硬件工程师,8.4w-9.6w,宁波,"本科 6.5k*13，政府补贴1k/月，补贴3年",4,"2016-10-29 22:56:09",179
359,联合汽车电子,硬件工程师,16-17w,上海,"硕士  补充公积金",5,"2016-10-29 23:01:29",328
360,华信证券,前端开发,20W,上海,基本工资+补贴+年终奖,6,"2016-10-29 23:06:51",288
361,恒生,技术支持,7k*12,公司分配,,2,"2016-10-29 23:09:49",241
362,华为,硬件工程师,16*（14—16）,深圳,批发价,5,"2016-10-29 23:29:28",882
363,小红书,研发,26.5W,上海,"SP 17k ",5,"2016-10-29 23:35:51",485
364,烽火通信,软件开发,10.5万,武汉,硕士，统一价,7,"2016-10-30 00:06:14",607
365,中国飞行试飞院,数据分析,8-10万,西安,硕士，出差多,-1,"2016-10-30 01:28:36",177
366,招银网络科技,软件开发岗,24W~27W,杭州,"9920*24~27，其中13薪+4-6奖金+7-8月福利(包括2.88公积金+饭补，过节费，额度报销共4.12月)，另外有贷款补贴，根据贷款额度，大概100万一个月至少1000，这样的薪资结构是为了避税(确实能避不少税，到手工资加公积金总数，大概相当于互联网公司的17k*14月，公积金12%的比例)，福利部分也能转化为钱，而且是不扣税的钱，纯到手18w+，加班一个月20多小时。
sp的话是11k*24-27",19,"2016-10-30 01:38:28",560
367,华为,芯片设计工程师,12x(14-16)=16.8-19.2,武汉,硕士，应该是华为武汉最低价,5,"2016-10-30 08:56:42",681
368,中芯国际,工艺工程师/工艺整合工程师,7.9*12,上海,"硕士  工艺工程师 和 工艺整合工程师。",2,"2016-10-30 10:14:22",279
369,上汽乘用车,研发工程师,15W,上海,,10,"2016-10-30 10:57:32",454
370,中兴,射频工程师,21-23.8W,上海,硕士双985，无线部门，14k，sp，年终奖3-5个月,6,"2016-10-30 11:23:06",366
371,奥克斯,销售,11w,宁波,,5,"2016-10-30 11:28:14",229
372,长园运泰利,java工程师,13w,珠海,硕士,5,"2016-10-30 12:23:58",95
373,华为,制造工程师,30,东莞,博士,9,"2016-10-30 12:30:33",275
374,华为,云计算研发工程师（IT产品线）,22.4~25.6,杭州市,开的区间(14~16)*16,4,"2016-10-30 12:35:08",3925
375,远景能源,叶片研发,1.05*（12+0~6）,上海/江阴,硕士,7,"2016-10-30 12:57:58",322
376,东风商用车技术中心,研发,4.5-6K*12,武汉,硕士，比较低,7,"2016-10-30 13:01:55",273
377,上海通用武汉分公司,生产岗,4.5K*20,武汉,硕士，20上下,5,"2016-10-30 13:11:06",314
378,百度,机器学习工程师,20-29.2w,北京,(14k/17k/20k)*14.6,8,"2016-10-30 13:39:01",465
379,奥克斯,空调研发,所有福利打包13万,宁波,硕士，其中包含平均2W奖金，不知水分多大,4,"2016-10-30 13:49:21",263
380,华为,算法工程师,23-25,北京,16*(14~16),5,"2016-10-30 14:19:13",517
381,乐其游戏,游戏开发,13W,上海,渣渣硕士，11K，包吃住,4,"2016-10-30 14:39:21",226
382,酷派,结构工程师,15.6万,深圳,12K*13,5,"2016-10-30 14:53:22",282
383,上海航天八院,系统软件开发工程师,硕士税前13万,上海,,4,"2016-10-30 16:39:07",267
384,华星光电,研发,15W,深圳,8200×14+季度奖，总共15W左右,8,"2016-10-30 17:04:38",247
385,吉利整车研究院,研发岗,"985硕士7.8K+补助1.05K ，211硕士5.5K+补助1.05K",宁波,年终奖1-3个月,6,"2016-10-30 17:10:53",333
386,新华三,软开,"（10-11）*12 + (4-5)月年终",杭州,,5,"2016-10-30 17:15:32",414
387,酷派,音频工程师,15.6,深圳,硕士,6,"2016-10-30 19:18:22",196
388,海康威视,总部技术支持,13k,杭州,8k*15+补贴（本科）,5,"2016-10-30 20:02:29",274
389,华为,通信设备软开,14k*(14+16首年),上海,本211硕985,5,"2016-10-30 20:27:07",262
390,海康威视,JAVA开发,13K*15,杭州,"sp  硕士 ",1,"2016-10-30 20:41:01",426
391,华为,项目助理,（16K～18K）*16（其中4为年终奖），不包含项目奖金、股票等,深圳,看个人能力，与学历没有直接关系,5,"2016-10-30 20:43:29",337
392,远景能源,供应链,12*12+0-6个月奖金,上海/江阴,special,6,"2016-10-30 21:40:17",360
393,==,///,***,<>,'',-1,"2016-10-30 22:00:47",25
394,123,123,123,123,123,-1,"2016-10-30 22:35:56",30
395,招商银行信用卡中心,掌上生活部（非管培）,22w,上海,"20w工资+2w购物卡 福利：低息贷款+家人医疗费用报销",6,"2016-10-31 08:04:24",318
396,武汉新芯,IT/CIM,7.5x13,武汉,,2,"2016-10-31 08:31:29",246
397,华为,供应链管理工程师,16-22,深圳,批发价12-14K，14-16个月,8,"2016-10-31 10:23:34",194
398,今日头条,测试,27W,北京,硕士，包一日五餐,3,"2016-10-31 10:28:40",346
399,华为,IT应用软件开发,20,上海,硕士,3,"2016-10-31 12:07:11",235
400,中行,软开,13,北京,硕士，所以包括公积金加一块睡前,4,"2016-10-31 12:52:42",208
401,中国移动苏州研究院,JAVA研发工程师,13.5w,苏州,打包大概13.5w，在苏州还行，不过体检时差额体检。。。,3,"2016-10-31 14:16:25",233
403,中国移动杭州研发中心,基础研究,15w,杭州,硕士，不加班，福利好，打包价格15w左右,2,"2016-10-31 14:20:21",293
404,展讯,PCB设计工程师,工资9k，基本12个月，年终奖平均3个月,"南京浦口 孵鹰大厦",硕士应该没有sp，公积金12%，每个月交通补贴300，午餐补贴20，晚餐补贴20（工作时间达11个小时），6-12个月免费人才公寓,3,"2016-10-31 14:20:59",142
405,拍拍贷,软件开发,13*14,上海,研究生,5,"2016-10-31 14:22:49",107
406,航天九院十三所,机电一体化测试,12w,"北京海淀区 五棵松体育馆附近",税前12w，解决京户，研究所评职称，应届生第一年没差距，以后的收入看个人职称,4,"2016-10-31 14:24:23",157
407,华为,产品行销经理,19.6~27W,深圳,"不知道是不是最低的 14*14  最高的有17*16",5,"2016-10-31 14:31:47",148
408,华为,网络技术工程师,14k*14-16,深圳,本科，五险一金，住房公积金，SP,3,"2016-10-31 14:42:46",179
409,银联商务上海,软件开发,17.7W,上海,研究生,5,"2016-10-31 14:46:59",156
410,wind万得,软件开发,14k*14,上海,,4,"2016-10-31 14:49:35",153
411,百度外卖,前端,20.4,北京,14k*14.6批发,3,"2016-10-31 14:54:37",254
412,欢聚时代,java研发,12k*15,广州,"应该算是special 吧，大部分是10k",5,"2016-10-31 15:18:57",154
413,汇川技术,装备开发工程师,9.7x16,苏州,机械，硕士，双休,4,"2016-10-31 15:19:01",145
414,武汉斗鱼,java后台开发,16-18w,武汉,sp多1k,2,"2016-10-31 15:39:52",244
415,"江苏省电信 省直",研发类,"第一年到手6.5w左右，第二年10w+,具体看绩效",南京,第一年轮岗12个月，每个月4000工资，每月住房补贴1000（非南京人），交通补贴800（记不到是1600还是1300的一半）；第二年工资正常1w左右，住房1000，交通1600，餐补不知，公积金（12%个人，公司12%再交18%=42%），其余各种补贴不算,2,"2016-10-31 15:42:26",152
416,华为,算法工程师,25W,上海,双985硕士。16*16,6,"2016-10-31 15:43:34",223
417,寒武纪,北京算法,12w,北京,,4,"2016-10-31 15:49:31",157
418,网易杭研,java后台开发工程师,13*16,杭州,硕士批发价,3,"2016-10-31 16:06:43",235
419,,,,,,-1,"2016-10-31 16:09:56",62
420,全志,模拟IC设计工程师,15W,珠海,硕士，11k*14,6,"2016-10-31 16:13:28",96
421,晶晨,模拟IC设计工程师,18W,上海,硕士，14k*13,4,"2016-10-31 16:18:28",94
422,市麒麟科创园管委会,科员,10W,"南京 麒麟",3年一调，增加2W左右,6,"2016-10-31 16:40:03",112
425,大疆,FPGA工程师,30w起,深圳,硕士，半价租房，饭补，话费补，半价水果，幼儿园，病假，福利看起来挺多的。,8,"2016-10-31 17:16:44",273
426,途牛,移动端研发,10×（12-15),南京,"985硕士 年终奖0-3个月",6,"2016-10-31 17:54:24",191
427,恒生电子,软件开发,17~19,杭州,硕士,2,"2016-10-31 18:51:09",111
428,恒生,C++开发,12.5k*14~16,杭州,硕士，配点股权,4,"2016-10-31 18:58:33",141
429,滴滴,算法工程师,25.5w,北京,17*15，高于15*15的批发价，但还有更高的18*15以及20*15。,4,"2016-10-31 19:52:38",132
430,滴滴,运维开发工程师,22.5,北京,硕，白菜价,5,"2016-10-31 20:04:09",88
431,深圳市茁壮网络股份有限公司,Java开发工程师,14-18W,深圳,计算机专业，硕士，五险一金,5,"2016-10-31 20:30:27",47
432,吉利整车研究院,IT研发,"985硕士 工资8600+补助1200",杭州湾,"15万购房补助 ",3,"2016-10-31 20:53:37",68
433,VIVO,软件工程师,18-24W,南京,"硕士 9K工资+1.5K补贴，年终占大头，第一年18-24W",5,"2016-10-31 20:55:49",118
434,湖南嵌入式与网络计算研究院,研究员,"985硕士 基本工资0.6K、补助0.5K    ",长沙,"住宿1200 /Year 100空调使用费  , 共有6个食堂 。(有卖蓝瘦香菇)",4,"2016-10-31 21:07:19",80
435,深信服,软开,18到19,长沙,"11k加600补助 15到18个月 比深圳低十分之一",3,"2016-11-01 00:08:54",25
436,海信,运营岗,7*12,青岛,211硕士，第一年政府补贴每月800，第二年往后每月住房补贴500。。。,3,"2016-11-01 00:50:15",5
